Breakdown,ttm,2/29/2020,2/28/2019,2/28/2018,2/28/2017
Total Revenue,1155357,1155357,1162105,1115158,1058700
Selling General and Administrative,249423,249423,243984,234320,218174
Total Operating Expenses,495427,495427,484424,564923,540523
Interest Expense,68300,68300,82067,86249,90736
Income Before Tax,444930,444930,524122,447265,367234
Income Tax Expense,74847,74847,86868,76117,68438
Income from Continuing Operations,370083,370083,437254,371148,298796
Net Income,370083,370083,437254,371148,298796
Net Income available to common shareholders,370083,370083,437254,371148,298796
Basic EPS,-,-,1.04,0.89,0.71
Diluted EPS,-,-,1.04,0.89,0.71
Basic Average Shares,-,-,418766,418766,418766
Diluted Average Shares,-,418766,418766,418766,418766
