Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,3293891,3116089,2941180,2747777
Liabilities,,,,
Total Liabilities,418445,380759,337127,281646
Stockholders' Equity,,,,
Common Stock,1633055,1582431,1553896,1545122
Retained Earnings,207087,203137,196159,194762
Accumulated other comprehensive income,1035304,949762,853998,726247
Total stockholders' equity,2875446,2735330,2604053,2466131
Total liabilities and stockholders' equity,3293891,3116089,2941180,2747777
