Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,664125034,569691898,341012560,242250624
Liabilities,,,,
Total Liabilities,566708513,507844212,301712356,221897926
Stockholders' Equity,,,,
Common Stock,1426765,1426765,-,1300265
Retained Earnings,0,-14945645,-,6017877
Accumulated other comprehensive income,40422097,43679573,-,12536829
Total stockholders' equity,94635243,60125152,37715341,20352698
Total liabilities and stockholders' equity,664125034,569691898,341012560,242250624
