Breakdown,3/31/2019,4/30/2017,4/30/2016
Total Assets,202891,150230,135498
Liabilities,,,
Total Liabilities,53435,31556,19123
Stockholders' Equity,,,
Common Stock,1515,1236,1175
Retained Earnings,-,-,906
Total stockholders' equity,149456,118674,116375
Total liabilities and stockholders' equity,202891,150230,135498
