Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,87732,339624,430603,583534
Depreciation & amortization,-,58657,70793,63279
Change in working capital,-,-45206,22531,67346
Other working capital,-,161385,340818,726478
Other non-cash items,-,-99430,7149,42089
Net cash provided by operating activites,-,300923,432339,811869
Investments in property plant and equipment,-,-139538,-91521,-85391
Purchases of investments,-,-100014,-100000,-
Sales/Maturities of investments,-,10011,3124,-
Other investing activites,-,-23554,180,-23753
Net cash used for investing activites,-,-252795,-188217,-109144
Net change in cash,-,-240273,-14163,465536
Cash at beginning of period,-,2306455,2320619,1855082
Cash at end of period,-,2066182,2306455,2320619
Operating Cash Flow,-,300923,432339,811869
Capital Expenditure,-,-139538,-91521,-85391
Free Cash Flow,-,161385,340818,726478
