Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,28764000,26468000,25173000,22337000
Depreciation & amortization,33146000,30296000,29663000,27978000
Change in working capital,-12411000,1032000,-9838000,-1853000
Inventory,-3687000,-4000000,-3076000,-817000
Other working capital,-32090000,-14850000,-11144000,19752000
Other non-cash items,-5323000,-3079000,-1201000,1086000
Net cash provided by operating activites,45914000,56690000,47764000,58873000
Investments in property plant and equipment,-78004000,-71540000,-58908000,-39121000
Acquisitions net,-,-10419000,-3410000,-9044000
Purchases of investments,7271000,-9783000,-4888000,-12484000
Sales/Maturities of investments,-,1278000,2207000,210000
Other investing activites,1635000,277000,-1491000,-373000
Net cash used for investing activites,-124657000,-88804000,-61637000,-44357000
Net change in cash,14524000,8524000,-9487000,5669000
Cash at beginning of period,25040000,22433000,30412000,23595000
Cash at end of period,40433000,31470000,22433000,30412000
Operating Cash Flow,45914000,56690000,47764000,58873000
Capital Expenditure,-78004000,-71540000,-58908000,-39121000
Free Cash Flow,-32090000,-14850000,-11144000,19752000
