Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,999807,943393,796538,790932
Depreciation & amortization,-,318064,337104,286951
Change in working capital,-,-325711,-652767,-19348
Inventory,-,-404774,-151005,-172449
Other working capital,-,722750,366569,207790
Other non-cash items,-,-31885,149259,-80798
Net cash provided by operating activites,-,881485,697768,860818
Investments in property plant and equipment,-,-158735,-331199,-653028
Acquisitions net,-,-6123,-,-
Sales/Maturities of investments,-,-,1000,19779
Other investing activites,-,-7008,-858,-7573
Net cash used for investing activites,-,-260941,-247584,-586864
Net change in cash,-,-121543,-126684,-21751
Cash at beginning of period,-,1409935,1536620,1558371
Cash at end of period,-,1288392,1409935,1536620
Operating Cash Flow,-,881485,697768,860818
Capital Expenditure,-,-158735,-331199,-653028
Free Cash Flow,-,722750,366569,207790
