Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3760798,2631678,433934,595443
Depreciation & amortization,-,199274,185065,129714
Change in working capital,-,236241,1073731,-1689079
Inventory,-,305969,1636396,-1150867
Other working capital,-,1031971,2129436,-1250477
Other non-cash items,-,78232,501173,90445
Net cash provided by operating activites,-,1100665,2171369,-1202344
Investments in property plant and equipment,-,-68694,-41933,-48133
Acquisitions net,-,-143235,-,-
Purchases of investments,-,-23834,-311914,-1639
Sales/Maturities of investments,-,109674,33550,911
Other investing activites,-,-574,-3783,51135
Net cash used for investing activites,-,-77438,-290190,182147
Net change in cash,-,1020275,1390749,-1519628
Cash at beginning of period,-,3619747,2228997,3748626
Cash at end of period,-,4640022,3619747,2228997
Operating Cash Flow,-,1100665,2171369,-1202344
Capital Expenditure,-,-68694,-41933,-48133
Free Cash Flow,-,1031971,2129436,-1250477
