Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-3914,-3914
Acquisitions net,-1934,-1934
Net cash used for investing activites,-5848,-5848
Debt repayment,-8250,-8250
Common stock issued,17100,17100
Common stock repurchased,-3859,-3859
Other financing activites,-512,-512
Net cash used privided by (used for) financing activities,4479,4479
Net change in cash,736,736
Cash at beginning of period,5586,5586
Cash at end of period,6322,6322
Capital Expenditure,-3914,-3914
Free Cash Flow,-1809,-1809
