Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,-121589,-18572,40421,107410
Selling General and Administrative,2499,2269,2279,2100
Total Operating Expenses,2659,2410,2416,2208
Interest Expense,14901,15051,13400,11712
Income Before Tax,-124248,-20982,38006,105202
Income from Continuing Operations,-124248,-20982,38006,105202
Net Income,-124248,-20982,38006,105202
Net Income available to common shareholders,-124248,-20982,38006,105202
Basic EPS,-,-0.51,1.49,5.41
Diluted EPS,-,-0.51,1.49,5.41
Basic Average Shares,-,41141,25507,19446
Diluted Average Shares,-,41141,25507,19446
