Breakdown,ttm,6/30/2019
Debt repayment,-,-100
Common stock issued,-,7000
Common stock repurchased,-,-374.295
Net cash used privided by (used for) financing activities,-,6526
Net change in cash,-950.718,5556
Cash at beginning of period,6103,33.189
Cash at end of period,5152,5589
Free Cash Flow,-950.718,-969.778
