Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,65388,82348,73542,47779
Depreciation & amortization,-,7548,4258,4369
Change in working capital,-,11175,129333,19433
Other working capital,-,101815,257854,92682
Other non-cash items,-,7994,47400,1313
Net cash provided by operating activites,-,109830,257854,92682
Investments in property plant and equipment,-,-8015,-,-
Acquisitions net,-,-17178,-,-
Purchases of investments,-,-1260,-,-
Sales/Maturities of investments,-,7560,-,-
Other investing activites,-,-55064,-2362,11114
Net cash used for investing activites,-,-73957,-2362,11114
Net change in cash,-,313860,220746,82995
Cash at beginning of period,-,592780,372034,289039
Cash at end of period,-,906641,592780,372034
Operating Cash Flow,-,109830,257854,92682
Capital Expenditure,-,-8015,-,-
Free Cash Flow,-,101815,257854,92682
