Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6379000,4569000,3737000,1976000
Depreciation & amortization,-,3011000,2877000,2928000
Change in working capital,-,-867000,1130000,2753000
Inventory,-,429000,-2781000,1979000
Other working capital,-,4100000,3752000,4827000
Other non-cash items,-,104000,-139000,850000
Net cash provided by operating activites,-,6901000,6804000,7842000
Investments in property plant and equipment,-,-2801000,-3052000,-3015000
Acquisitions net,-,-620000,-,-
Purchases of investments,-,-10000,-13000,-9000
Sales/Maturities of investments,-,64000,486000,524000
Other investing activites,-,-192000,-1501000,74000
Net cash used for investing activites,-,-3552000,-4051000,-2218000
Net change in cash,-,117000,-589000,-1089000
Cash at beginning of period,-,4603000,5192000,6282000
Cash at end of period,-,4721000,4603000,5192000
Operating Cash Flow,-,6901000,6804000,7842000
Capital Expenditure,-,-2801000,-3052000,-3015000
Free Cash Flow,-,4100000,3752000,4827000
