Breakdown,12/31/2017,12/31/2016
Total Assets,1499353,968231
Liabilities,,
Total Liabilities,700789,372072
Stockholders' Equity,,
Common Stock,0,0
Total stockholders' equity,798564,596159
Total liabilities and stockholders' equity,1499353,968231
