Breakdown,ttm,6/30/2019
Net Income,3203,3203
Change in working capital,-743,-743
Other working capital,-115737,-115737
Net cash provided by operating activites,-115737,-115737
Net change in cash,12792,12792
Cash at beginning of period,0,0
Cash at end of period,12792,12792
Operating Cash Flow,-115737,-115737
Free Cash Flow,-115737,-115737
