Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,-4652058,-2920563,-3940327,-1835296
Depreciation & amortization,-,36861,53665,26758
Stock based compensation,-,27922,12648,15053
Change in working capital,-,-397101,525602,-68758
Inventory,-,-,-,1264
Other working capital,-,-3974701,-1939266,-1893538
Other non-cash items,-,-791581,-611177,35196
Net cash provided by operating activites,-,-3968342,-1906769,-1796175
Investments in property plant and equipment,-,-6359,-32497,-97363
Purchases of investments,-,-999975,-,-
Other investing activites,-,-758,690772,173653
Net cash used for investing activites,-,-1007092,658275,79172
Net change in cash,-,7798211,-221753,-2011228
Cash at beginning of period,-,4654820,4876574,6887802
Cash at end of period,-,12453031,4654820,4876574
Operating Cash Flow,-,-3968342,-1906769,-1796175
Capital Expenditure,-,-6359,-32497,-97363
Free Cash Flow,-,-3974701,-1939266,-1893538
