Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-301600,-234800,-339700,-312200,-303200
Acquisitions net,-,-,-15200,-20700,-
Purchases of investments,-5200,-5200,-151000,-2000,-
Sales/Maturities of investments,33300,33300,-,-,-
Other investing activites,-,-,5000,-,90300
Net cash used for investing activites,-194800,-133200,-414100,-182600,-189800
Debt repayment,-388500,-371000,-430800,-460600,-688000
Common stock repurchased,-,-,-400,-351200,-
Dividends Paid,-340600,-369600,-340500,-345800,-340000
Net cash used privided by (used for) financing activities,-562300,-647300,-342700,-684500,-438500
Net change in cash,-40000,-112800,-134300,-277900,146500
Cash at beginning of period,849200,935400,1036300,1377000,1237400
Cash at end of period,809200,854400,935400,1036300,1377000
Capital Expenditure,-301600,-234800,-339700,-312200,-303200
Free Cash Flow,415500,432900,282800,277000,471600
