Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-285000,-285000,-198000,-302000,-353000
Acquisitions net,-42000,-42000,-353000,-3247000,-10600
Other investing activites,-90000,-90000,-50000,93000,-110400
Net cash used for investing activites,-392000,-392000,-55000,-3449000,-473200
Debt repayment,-698000,-698000,-1425000,-371000,-232800
Common stock issued,-,-,268000,3125000,-
Common stock repurchased,-,-,-8000,-68000,-
Dividends Paid,-514000,-514000,-130000,-,-
Other financing activites,-37000,-37000,-20000,-26000,-116000
Net cash used privided by (used for) financing activities,-1209000,-1209000,-904000,3062000,525200
Net change in cash,-53000,-53000,788000,21000,35300
Cash at beginning of period,1031000,1031000,207000,190000,159000
Cash at end of period,962000,962000,1031000,207000,190300
Capital Expenditure,-285000,-285000,-198000,-302000,-353000
Free Cash Flow,1263000,1263000,1549000,106000,-369700
