Attribute,Value
Previous Close,9.87
Open,10.00
Bid,9.71 x 1000
Ask,10.48 x 1000
Day's Range,9.69 - 10.00
52 Week Range,8.26 - 10.00
Volume,38108
Avg. Volume,38529
Net Assets,37.16M
NAV,9.81
PE Ratio (TTM),
Yield,8.02%
YTD Daily Total Return,10.11%
Beta (5Y Monthly),0.00
Expense Ratio (net),0.65%
Inception Date,2013-01-29
