Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,228000,610000,-15000,492000
Depreciation & amortization,-,2632000,2383000,2420000
Change in working capital,-,804000,872000,1101000
Inventory,-,-51000,-17000,393000
Other working capital,-1092000,-105000,1162000,4837000
Other non-cash items,-,322000,510000,470000
Net cash provided by operating activites,3787000,4565000,2950000,5320000
Investments in property plant and equipment,-4879000,-4670000,-1788000,-483000
Acquisitions net,-,-5000,-1753000,-
Purchases of investments,-313000,-100000,-,-
Sales/Maturities of investments,-79000,97000,50000,100000
Other investing activites,-,-354000,197000,46000
Net cash used for investing activites,-5549000,-4986000,-2698000,-273000
Net change in cash,-3341000,-415000,2194000,1094000
Cash at beginning of period,17491000,15594000,13404000,12310000
Cash at end of period,14150000,15176000,15594000,13404000
Operating Cash Flow,3787000,4565000,2950000,5320000
Capital Expenditure,-4879000,-4670000,-1788000,-483000
Free Cash Flow,-1092000,-105000,1162000,4837000
