Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2226322,2226322,1529476,1208710,813840
Depreciation & amortization,1088578,1088578,850394,478886,317717
Change in working capital,196637,196637,39137,124066,212023
Inventory,-62866,-62866,-11240,18886,-24479
Other working capital,2227018,2227018,2026106,1617018,1492735
Other non-cash items,-181459,-181459,93361,-270688,76639
Net cash provided by operating activites,3549957,3549957,2888796,1617018,1492735
Investments in property plant and equipment,-1322939,-1322939,-862690,-,-
Acquisitions net,-30003,-30003,-187826,-,-
Purchases of investments,-,-,-273028,-152725,-563244
Sales/Maturities of investments,-,-,-,16315,657967
Other investing activites,-52806,-52806,-134425,-1279579,-620273
Net cash used for investing activites,-1435748,-1435748,-1457969,-1415989,-472945
Net change in cash,922129,922129,1110859,212412,967004
Cash at beginning of period,7563234,7563234,6452374,6239962,5272957
Cash at end of period,8485363,8485363,7563234,6452374,6239962
Operating Cash Flow,3549957,3549957,2888796,1617018,1492735
Capital Expenditure,-1322939,-1322939,-862690,-,-
Free Cash Flow,2227018,2227018,2026106,1617018,1492735
