Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4536168,3392128,2727169,2395210
Depreciation & amortization,-,274814,405508,379027
Change in working capital,-,-369676,-24240,-154634
Inventory,-,-157090,-67171,-94589
Other working capital,-,2568877,2513497,1888882
Other non-cash items,-,5004,31556,-50276
Net cash provided by operating activites,-,3116596,2967294,2416987
Investments in property plant and equipment,-,-547719,-453797,-528105
Purchases of investments,-,-722720,-1000000,-1432867
Sales/Maturities of investments,-,679124,1014300,56221
Other investing activites,-,-5112,-7900,-8426
Net cash used for investing activites,-,-1196206,-275708,-1929177
Net change in cash,-,1084907,2001689,-415152
Cash at beginning of period,-,9253620,7251931,7667083
Cash at end of period,-,10373250,9253620,7251931
Operating Cash Flow,-,3116596,2967294,2416987
Capital Expenditure,-,-547719,-453797,-528105
Free Cash Flow,-,2568877,2513497,1888882
