Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1193000,2139000,2024000,377000
Depreciation & amortization,-,2477000,2327000,2110000
Change in working capital,-,229000,-1555000,1381000
Inventory,-,-391000,183000,779000
Other working capital,-,728000,924000,2724000
Other non-cash items,-,628000,1227000,1348000
Net cash provided by operating activites,-,4535000,3339000,4910000
Investments in property plant and equipment,-,-3807000,-2415000,-2186000
Acquisitions net,-,-2595000,-,-
Purchases of investments,-,-165000,-32000,-1482000
Sales/Maturities of investments,-,1336000,239000,513000
Other investing activites,-,-13000,577000,-1230000
Net cash used for investing activites,-,-4865000,-1417000,-4020000
Net change in cash,-,892000,-961000,265000
Cash at beginning of period,-,6704000,7665000,7174000
Cash at end of period,-,7596000,6704000,7665000
Operating Cash Flow,-,4535000,3339000,4910000
Capital Expenditure,-,-3807000,-2415000,-2186000
Free Cash Flow,-,728000,924000,2724000
