Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,37964,37964,36089,35359,31117
Interest Expense,11382,11382,8988,4729,3127
Income Before Tax,11374,11374,10218,10463,8842
Income Tax Expense,3411,3411,2809,5548,3613
Income from Continuing Operations,7963,7963,7409,4915,5229
Net Income,7963,7963,7409,4915,5229
Net Income available to common shareholders,7963,7963,7409,4915,5229
Basic EPS,-,-,0.89,0.60,0.64
Diluted EPS,-,-,0.88,0.57,0.62
Basic Average Shares,-,-,8325,8192,8170
Diluted Average Shares,-,-,8419,8623,8434
