Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,66454,74627,-115581,-93303
Depreciation & amortization,-,51323,46813,14607
Change in working capital,-,42871,-35446,1453
Inventory,-,12213,-18303,-19910
Other working capital,-91406,-43603,-140307,-168276
Other non-cash items,-,-67029,-88353,-71133
Net cash provided by operating activites,-75660,-26633,-76731,-89867
Investments in property plant and equipment,-15746,-16970,-63576,-78409
Acquisitions net,-2753,-17540,-,0
Purchases of investments,-519627,-181932,-2029,-210838
Sales/Maturities of investments,616222,220000,4910,3216
Other investing activites,-467000,-211662,-20000,-80000
Net cash used for investing activites,25712,-102887,23269,-192371
Net change in cash,-124172,-242819,96498,122493
Cash at beginning of period,230612,420849,323695,205608
Cash at end of period,106440,171209,420849,323695
Operating Cash Flow,-75660,-26633,-76731,-89867
Capital Expenditure,-15746,-16970,-63576,-78409
Free Cash Flow,-91406,-43603,-140307,-168276
