Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-147.28,-147.28
Net cash used for investing activites,-147.28,-147.28
Common stock issued,8097,8097
Common stock repurchased,-511.401,-511.401
Other financing activites,-618.334,-618.334
Net cash used privided by (used for) financing activities,10685,10685
Net change in cash,6663,6663
Cash at beginning of period,1077,1077
Cash at end of period,7741,7741
Capital Expenditure,-147.28,-147.28
Free Cash Flow,-4021,-4021
