Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,10312000,10312000,9436000,8403000,8211000
Depreciation & amortization,726000,726000,825000,592000,645000
Change in working capital,64000,64000,-1141000,-134000,-70000
Other working capital,326000,326000,-1126000,270000,71000
Other non-cash items,-9872000,-9872000,-8663000,-7704000,-7871000
Net cash provided by operating activites,802000,802000,-662000,669000,475000
Investments in property plant and equipment,-476000,-476000,-464000,-399000,-404000
Purchases of investments,-154000,-154000,-42000,-3004000,-131000
Sales/Maturities of investments,0,0,540000,2000,-
Other investing activites,-299000,-299000,-,9000,-
Net cash used for investing activites,9437000,9437000,8349000,696000,2292000
Net change in cash,-52000,-52000,1199000,-1218000,268000
Cash at beginning of period,2421000,2421000,1218000,2434000,2174000
Cash at end of period,2369000,2369000,2421000,1218000,2434000
Operating Cash Flow,802000,802000,-662000,669000,475000
Capital Expenditure,-476000,-476000,-464000,-399000,-404000
Free Cash Flow,326000,326000,-1126000,270000,71000
