Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-979.977,-767.32,-1162,-2955,-2041
Acquisitions net,-,-,-,-12317,-
Net cash used for investing activites,-893.266,-680.609,-811.688,-15272,-2041
Common stock issued,2250,4084,7078,21547,8320
Common stock repurchased,-53.391,-271.364,-429.067,-60.391,-105.262
Net cash used privided by (used for) financing activities,2197,3813,6649,21487,8215
Net change in cash,-336.193,630.135,-2162,-2546,-4169
Cash at beginning of period,4925,3072,5241,7790,12243
Cash at end of period,4588,3702,3072,5241,7790
Capital Expenditure,-979.977,-767.32,-1162,-2955,-2041
Free Cash Flow,-2619,-3269,-9161,-11716,-12384
