Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1100,-921,-1517,-2205,-804
Acquisitions net,-,-,-3089,-6672,-
Other investing activites,-2527,-2644,-1,-,-
Net cash used for investing activites,-3596,-3534,-4607,-8877,-782
Common stock issued,1050,241,312,-,-
Common stock repurchased,-,-,-9,-,-2847
Other financing activites,-,-13,-20,14369,-
Net cash used privided by (used for) financing activities,-363,228,283,14369,-2847
Net change in cash,4103,4025,2709,2427,-4425
Cash at beginning of period,19934,23319,20278,18142,22557
Cash at end of period,24037,28207,23319,20278,18142
Capital Expenditure,-1100,-921,-1517,-2205,-804
Free Cash Flow,6962,6410,5516,-5270,-1600
