Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-82947,-82947,-30759,-45754,-17199
Acquisitions net,-,-,-2550,-,1004
Other investing activites,40421,40421,35623,18457,-45
Net cash used for investing activites,-41534,-41534,2719,-26649,14683
Debt repayment,-67593,-67593,-41960,-75321,-21493
Common stock issued,-,-,2060,-,-
Common stock repurchased,-,-,-641,-,-
Dividends Paid,-23329,-23329,-22101,-,-
Other financing activites,13431,13431,-34271,3326,34932
Net cash used privided by (used for) financing activities,-82688,-82688,-135165,-96134,-28979
Net change in cash,-30374,-30374,47147,11008,7956
Cash at beginning of period,79046,79046,29913,20571,12711
Cash at end of period,48900,48900,79046,29913,20571
Capital Expenditure,-82947,-82947,-30759,-45754,-17199
Free Cash Flow,10901,10901,148834,88037,5053
