Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,15490000,16302000,12953000,11749000
Depreciation & amortization,-,3418000,2773000,2648000
Change in working capital,-,-5459000,-6803000,3022000
Inventory,-,972000,-1768000,352000
Other working capital,-,13852000,2542000,14564000
Other non-cash items,-,181000,-465000,275000
Net cash provided by operating activites,-,15310000,6719000,18916000
Investments in property plant and equipment,-,-1458000,-4177000,-4352000
Purchases of investments,-,-2269000,-6488000,-4129000
Sales/Maturities of investments,-,5057000,3204000,3390000
Other investing activites,-,-819000,-3881000,-659000
Net cash used for investing activites,-,511000,-11342000,-5750000
Net change in cash,-,12122000,-8404000,11098000
Cash at beginning of period,-,27510000,35914000,24748000
Cash at end of period,-,39632000,27510000,35914000
Operating Cash Flow,-,15310000,6719000,18916000
Capital Expenditure,-,-1458000,-4177000,-4352000
Free Cash Flow,-,13852000,2542000,14564000
