Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-3.371,-34.976,-773.038,-0.851
Net cash used for investing activites,-,-3.371,-34.976,-773.038,7.883
Common stock issued,-,-16.763,3476,3838,3386
Other financing activites,-,-,-,-667.843,-665.536
Net cash used privided by (used for) financing activities,-,-16.763,3476,3170,2721
Net change in cash,-1178,-1710,1322,987.102,1414
Cash at beginning of period,2712,3926,2604,1607,192.872
Cash at end of period,1534,2233,3926,2604,1607
Capital Expenditure,-,-3.371,-34.976,-773.038,-0.851
Free Cash Flow,-1178,-1693,-2154,-2183,-1315
