Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-77334,-77334,-81646,-184507,-16911
Depreciation & amortization,-,-,237,418,538
Stock based compensation,-,-,0,9520,-
Change in working capital,-,-,46400,116381,219040
Other working capital,-,-,-14136,61189,215873
Other non-cash items,-,-,28066,27481,30297
Net cash provided by operating activites,-,-,-14073,61571,215954
Investments in property plant and equipment,-,-,-63,-382,-81
Acquisitions net,-,-,-,0,-7046
Sales/Maturities of investments,-,-,-,-,0
Net cash used for investing activites,-,-,3919,-369,-7123
Net change in cash,-,-,-40154,-39657,66674
Cash at beginning of period,-,-,87556,126461,60536
Cash at end of period,-,-,47262,87556,126461
Operating Cash Flow,-,-,-14073,61571,215954
Capital Expenditure,-,-,-63,-382,-81
Free Cash Flow,-,-,-14136,61189,215873
