Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,777639,712315,722685,682023
Liabilities,,,,
Total Liabilities,684991,629168,641867,606104
Stockholders' Equity,,,,
Common Stock,91,91,91,91
Retained Earnings,107547,99754,91448,86886
Accumulated other comprehensive income,46,-1096,-957,-820
Total stockholders' equity,92648,83147,80818,75919
Total liabilities and stockholders' equity,777639,712315,722685,682023
