Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-4.569,-55,-,-
Purchases of investments,-,-612.051,-393.5,-176,-245
Sales/Maturities of investments,-,1426,-,-,-
Other investing activites,-,-254.018,-,106.193,-
Net cash used for investing activites,-,555.602,-448.5,-68.138,-245
Common stock issued,-,-,4149,200,3136
Common stock repurchased,-,-,-188.928,-19.525,-340.31
Other financing activites,-,-,269.464,-,-45
Net cash used privided by (used for) financing activities,-,-,4229,830.475,3351
Net change in cash,-578.312,-1129,2353,-1072,1194
Cash at beginning of period,1515,2420,167.216,1239,45.379
Cash at end of period,936.563,1291,2420,167.216,1239
Capital Expenditure,-,-4.569,-55,-,-
Free Cash Flow,-938.248,-1689,-1483,-1835,-1912
