Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,396000,569000,246000,265000
Depreciation & amortization,218000,191000,166000,146000
Change in working capital,52000,-50000,-145000,85000
Inventory,-87000,26000,-42000,-33000
Other working capital,133000,345000,121000,334000
Other non-cash items,105000,1000,165000,17000
Net cash provided by operating activites,468000,566000,331000,400000
Investments in property plant and equipment,-335000,-221000,-210000,-66000
Acquisitions net,-,-102000,-,-
Purchases of investments,-221000,-156000,-191000,-
Sales/Maturities of investments,371000,224000,223000,-
Other investing activites,9000,9000,9000,32000
Net cash used for investing activites,122000,154000,-169000,-34000
Net change in cash,-119000,603000,25000,180000
Cash at beginning of period,1854000,1829000,1803000,1622000
Cash at end of period,1721000,2433000,1829000,1803000
Operating Cash Flow,468000,566000,331000,400000
Capital Expenditure,-335000,-221000,-210000,-66000
Free Cash Flow,133000,345000,121000,334000
