Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,181768,152376,120615
Liabilities,,,
Total Liabilities,2583,2960,2972
Stockholders' Equity,,,
Common Stock,150,150,150
Total stockholders' equity,179185,149416,117643
Total liabilities and stockholders' equity,181768,152376,120615
