Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1495000,1384000,1361000,1380000
Depreciation & amortization,-,786000,522000,564000
Change in working capital,-,-215000,632000,487000
Inventory,-,15000,-58000,-242000
Other working capital,-,86000,1937000,2550000
Other non-cash items,-,18000,-79000,4000
Net cash provided by operating activites,-,1808000,2321000,2700000
Investments in property plant and equipment,-,-1722000,-384000,-150000
Acquisitions net,-,-2019000,-,-
Purchases of investments,-,-189000,-52000,-327000
Sales/Maturities of investments,-,698000,89000,93000
Other investing activites,-,19000,111000,27000
Net cash used for investing activites,-,-3013000,-252000,-338000
Net change in cash,-,-257000,536000,1345000
Cash at beginning of period,-,7168000,6631000,5286000
Cash at end of period,-,6910000,7168000,6631000
Operating Cash Flow,-,1808000,2321000,2700000
Capital Expenditure,-,-1722000,-384000,-150000
Free Cash Flow,-,86000,1937000,2550000
