Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1559235,1483076,1393860,1160271
Liabilities,,,,
Total Liabilities,1366433,1299891,1230124,1005972
Stockholders' Equity,,,,
Common Stock,125,127,127,127
Retained Earnings,131425,120574,99662,90964
Accumulated other comprehensive income,207,-2950,-1309,-993
Total stockholders' equity,192802,183185,163736,154299
Total liabilities and stockholders' equity,1559235,1483076,1393860,1160271
