Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1138014,1031007,1715848,239144
Depreciation & amortization,-,656861,484883,233237
Change in working capital,-,1577281,-7268855,1788914
Inventory,-,421251,-5599723,-
Other working capital,-,1940008,-6945594,-8301893
Other non-cash items,-,356496,335531,288846
Net cash provided by operating activites,-,2782020,-5138370,1820275
Investments in property plant and equipment,-,-842012,-1807224,-10122168
Acquisitions net,-,-3744,-4644240,-
Purchases of investments,-,-1011115,-2505181,-3628900
Sales/Maturities of investments,-,472038,2916795,3512903
Other investing activites,-,475,-72785,-23681
Net cash used for investing activites,-,-732439,-3134431,-9855057
Net change in cash,-,4362324,-3992,478084
Cash at beginning of period,-,6567542,6571534,5900293
Cash at end of period,-,10929866,6567542,6571534
Operating Cash Flow,-,2782020,-5138370,1820275
Capital Expenditure,-,-842012,-1807224,-10122168
Free Cash Flow,-,1940008,-6945594,-8301893
