Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-4.062,-4.125,-2.771,-4.9
Purchases of investments,-,2000,-2000,-,-
Net cash used for investing activites,-,1996,-2004,-2.771,64.073
Common stock issued,-,1.8,7015,-,-
Common stock repurchased,-,-,-199.015,-,-
Net cash used privided by (used for) financing activities,-,1.8,6816,-,-
Net change in cash,-452.056,1869,2725,-1280,-1467
Cash at beginning of period,6077,4605,1911,3215,4647
Cash at end of period,5625,6474,4605,1911,3215
Capital Expenditure,-,-4.062,-4.125,-2.771,-4.9
Free Cash Flow,-2479,-133.247,-2091,-1280,-1536
