Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3059000,3902000,2785000,1091000
Depreciation & amortization,-,1958000,1842000,1776000
Change in working capital,-,-2590000,-2015000,-649000
Inventory,-,-1558000,-959000,191000
Other working capital,-,-409000,1011000,600000
Other non-cash items,-,-342000,190000,-274000
Net cash provided by operating activites,-,2240000,3012000,2492000
Investments in property plant and equipment,-,-2649000,-2001000,-1892000
Acquisitions net,-,-131000,-33000,-86000
Purchases of investments,-,-8000,-4000,-110000
Sales/Maturities of investments,-,552000,102000,24000
Other investing activites,-,-,39000,-
Net cash used for investing activites,-,-1536000,-1789000,-2064000
Net change in cash,-,-176000,996000,-418000
Cash at beginning of period,-,8088000,7092000,7510000
Cash at end of period,-,7912000,8088000,7092000
Operating Cash Flow,-,2240000,3012000,2492000
Capital Expenditure,-,-2649000,-2001000,-1892000
Free Cash Flow,-,-409000,1011000,600000
