Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Total Revenue,-52333,-33176,136151,131543
Selling General and Administrative,730,679,647,618
Total Operating Expenses,807,707,674,632
Interest Expense,2087,2315,2092,1589
Income Before Tax,-53140,-33883,135477,130911
Income Tax Expense,53,63,96,36
Income from Continuing Operations,-53193,-33946,135381,130875
Net Income,-53193,-33946,135381,130875
Net Income available to common shareholders,-53193,-33946,135381,130875
Basic EPS,-,-0.71,2.83,2.73
Diluted EPS,-,-0.71,2.83,2.73
Basic Average Shares,-,47880,47880,47880
Diluted Average Shares,-,47880,47880,47880
