Breakdown,ttm,8/31/2019,8/31/2018
Total Revenue,28036238,28036238,27937496
Cost of Revenue,16531702,16531702,18013100
Gross Profit,11504536,11504536,9924396
Total Operating Expenses,6068057,6068057,4828945
Operating Income or Loss,5436479,5436479,5095451
Interest Expense,62416,62416,27981
Income Before Tax,4873964,4873964,5291716
Income Tax Expense,1167215,1167215,1802971
Income from Continuing Operations,3706749,3706749,3488745
Net Income,3706748,3706748,3488745
Net Income available to common shareholders,3706748,3706748,3488745
Basic EPS,-,-,41.18
Diluted EPS,-,-,41.18
Basic Average Shares,-,-,84713
Diluted Average Shares,-,-,84713
