Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,478000,695000,996000,-7548000
Depreciation & amortization,-,209000,76000,1420000
Change in working capital,-,15000,365000,78000
Inventory,-,-108000,484000,735000
Other working capital,-,-619000,871000,379000
Other non-cash items,-,34000,45000,-59000
Net cash provided by operating activites,-,854000,1449000,817000
Investments in property plant and equipment,-,-1473000,-578000,-438000
Purchases of investments,-,-9287000,-1000000,-
Sales/Maturities of investments,-,7263000,-,-
Other investing activites,-,-6000,15000,-572000
Net cash used for investing activites,-,-3503000,-1473000,-1010000
Net change in cash,-,-2687000,-102000,44000
Cash at beginning of period,-,15769000,15872000,15827000
Cash at end of period,-,13082000,15769000,15872000
Operating Cash Flow,-,854000,1449000,817000
Capital Expenditure,-,-1473000,-578000,-438000
Free Cash Flow,-,-619000,871000,379000
