Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1014451,1086919,1010919,1061713
Depreciation & amortization,-,132975,126273,127009
Stock based compensation,-,48031,42236,20182
Change in working capital,-,-381346,44540,-34288
Inventory,-,-151132,-32435,-35860
Other working capital,-,763484,988590,1120853
Other non-cash items,-,-6828,-11687,-43800
Net cash provided by operating activites,-,884511,1137062,1244063
Investments in property plant and equipment,-,-121027,-148472,-123210
Acquisitions net,-,-,-,-31953
Sales/Maturities of investments,-,-,-,100000
Other investing activites,-,-,-1015686,1160161
Net cash used for investing activites,-,-121027,-1164158,1141184
Net change in cash,-,360429,-197496,1803351
Cash at beginning of period,-,3914901,4112397,2309046
Cash at end of period,-,4275330,3914901,4112397
Operating Cash Flow,-,884511,1137062,1244063
Capital Expenditure,-,-121027,-148472,-123210
Free Cash Flow,-,763484,988590,1120853
