Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,886637,795768,697126,594066
Liabilities,,,,
Total Liabilities,25005,18748,75766,55282
Stockholders' Equity,,,,
Common Stock,714280,639160,506061,442680
Retained Earnings,146984,137620,115133,96397
Total stockholders' equity,861632,777020,621360,538784
Total liabilities and stockholders' equity,886637,795768,697126,594066
