Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,14552000,14593000,14504000,12488000
Depreciation & amortization,6427000,6362000,6157000,5629000
Change in working capital,-18330000,-13597000,-1736000,1225000
Inventory,-7197000,-2651000,2566000,-1123000
Other working capital,3461000,-3491000,10285000,12766000
Other non-cash items,9559000,-685000,2156000,3416000
Net cash provided by operating activites,13813000,5450000,21066000,21065000
Investments in property plant and equipment,-10352000,-8941000,-10781000,-8299000
Acquisitions net,-4512000,-1191000,-,-238000
Purchases of investments,-36690000,-20822000,-13510000,-18000
Sales/Maturities of investments,43771000,24512000,16154000,1874000
Other investing activites,13165000,-1258000,-15236000,200000
Net cash used for investing activites,2388000,-7697000,-23354000,-6451000
Net change in cash,9947000,-22069000,48412000,4453000
Cash at beginning of period,45579000,78313000,29901000,25128000
Cash at end of period,56775000,56243000,78313000,29901000
Operating Cash Flow,13813000,5450000,21066000,21065000
Capital Expenditure,-10352000,-8941000,-10781000,-8299000
Free Cash Flow,3461000,-3491000,10285000,12766000
