Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,-4557000,-519000,1184000,1076000,1274000
Depreciation & amortization,1753000,1359000,974000,497000,588000
Change in working capital,-617000,-462000,-565000,-814000,-989000
Inventory,-639000,-626000,-694000,-559000,-328000
Other working capital,-3120000,-1869000,213000,-554000,265000
Other non-cash items,-253000,-63000,-213000,309000,-35000
Net cash provided by operating activites,-441000,154000,1750000,637000,1001000
Investments in property plant and equipment,-2679000,-2023000,-1537000,-1191000,-736000
Acquisitions net,-,-,-1708000,-2027000,-84000
Purchases of investments,-1422000,-1562000,-528000,-11000,-463000
Sales/Maturities of investments,218000,283000,197000,634000,-
Other investing activites,-1163000,-794000,-203000,-159000,-204000
Net cash used for investing activites,-5035000,-4096000,-3779000,-3271000,-1343000
Net change in cash,764000,-2801000,-184000,2863000,755000
Cash at beginning of period,5126000,5985000,6169000,3321000,2566000
Cash at end of period,5851000,3184000,5985000,6169000,3321000
Operating Cash Flow,-441000,154000,1750000,637000,1001000
Capital Expenditure,-2679000,-2023000,-1537000,-1191000,-736000
Free Cash Flow,-3120000,-1869000,213000,-554000,265000
