Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,100746,100746,105505,77973,72978
Interest Expense,16212,16212,10306,6549,5268
Income Before Tax,33792,33792,38285,29317,23576
Income Tax Expense,5860,5860,6695,12493,7568
Income from Continuing Operations,27932,27932,31590,16824,16008
Net Income,27932,27932,31590,16824,16008
Net Income available to common shareholders,27932,27932,31590,16824,16008
Basic EPS,-,-,3.48,2.50,2.34
Diluted EPS,-,-,3.40,2.41,2.25
Basic Average Shares,-,-,9078,7112,6841
Diluted Average Shares,-,-,9291,7377,7115
