Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1406000,1406000,420000,1566000,1311000
Depreciation & amortization,2243000,2243000,3205000,1442000,1369000
Change in working capital,62000,62000,-409000,-259000,-780000
Inventory,-55000,-55000,-418000,-348000,-173000
Other working capital,2060000,2060000,529000,1043000,444000
Other non-cash items,20000,20000,-785000,16000,-
Net cash provided by operating activites,3804000,3804000,2492000,2765000,1965000
Investments in property plant and equipment,-1744000,-1744000,-1963000,-1722000,-1521000
Acquisitions net,-187000,-187000,-626000,-492000,-233000
Purchases of investments,-88000,-88000,-937000,-84000,-110000
Sales/Maturities of investments,1000,1000,3000,1000,1000
Other investing activites,-37000,-37000,-5000,74000,30000
Net cash used for investing activites,-1573000,-1573000,-3419000,-2033000,-1693000
Net change in cash,2290000,2290000,-548000,-385000,-1639000
Cash at beginning of period,2688000,2688000,3284000,3738000,5380000
Cash at end of period,4987000,4987000,2688000,3284000,3738000
Operating Cash Flow,3804000,3804000,2492000,2765000,1965000
Capital Expenditure,-1744000,-1744000,-1963000,-1722000,-1521000
Free Cash Flow,2060000,2060000,529000,1043000,444000
