Breakdown,9/30/2019,9/30/2018,9/30/2017
Total Assets,177502,200810,188139
Liabilities,,,
Total Liabilities,2126,1420,1450
Stockholders' Equity,,,
Common Stock,24802,23279,20904
Total stockholders' equity,175376,199390,186689
Total liabilities and stockholders' equity,177502,200810,188139
