Breakdown,ttm,6/30/2019,6/30/2018,6/30/2016
Investments in property plant and equipment,-1261,-1273,-611.878,-
Sales/Maturities of investments,-,519.227,-,-
Other investing activites,-,8.137,-,-
Net cash used for investing activites,-1056,-722.438,-611.876,-
Debt repayment,-,-4.404,-35.1,-
Common stock issued,-,-,4343,-
Common stock repurchased,-,-,-344.201,-
Other financing activites,-,-,0.003,-
Net cash used privided by (used for) financing activities,-,-4.404,3964,-
Net change in cash,-440.483,-1526,2098,-
Cash at beginning of period,774.92,2307,208.461,-
Cash at end of period,334.437,780.732,2307,-
Capital Expenditure,-1261,-1273,-611.878,-
Free Cash Flow,-1910,-2072,-1865,-
