Breakdown,ttm,2/28/2019,2/28/2018
Net Income,289307,255646,93145
Depreciation & amortization,-,10739,7207
Change in working capital,-,30994,-6238
Inventory,-,-12566,119
Other working capital,-,381024,88249
Other non-cash items,-,7266,-5876
Net cash provided by operating activites,-,386924,101521
Investments in property plant and equipment,-,-5900,-13272
Other investing activites,-,-,-5192
Net cash used for investing activites,-,-5900,-18312
Net change in cash,-,633947,114794
Cash at beginning of period,-,403059,288265
Cash at end of period,-,1037007,403059
Operating Cash Flow,-,386924,101521
Capital Expenditure,-,-5900,-13272
Free Cash Flow,-,381024,88249
