Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2732000,6397000,3630000,3727000
Depreciation & amortization,-,2219000,2001000,2259000
Change in working capital,-,-1762000,-2897000,1574000
Inventory,-,-1434000,-1374000,1283000
Other working capital,-,-1710000,-1045000,6724000
Other non-cash items,-,-6000,-387000,577000
Net cash provided by operating activites,-,4669000,2652000,8140000
Investments in property plant and equipment,-,-6379000,-3697000,-1416000
Acquisitions net,-,-,-1113000,-
Purchases of investments,-,-43000,-692000,-428000
Sales/Maturities of investments,-,534000,497000,127000
Other investing activites,-,-3000,-20000,8000
Net cash used for investing activites,-,-4097000,-4822000,-777000
Net change in cash,-,1239000,-4668000,4212000
Cash at beginning of period,-,14601000,19270000,15017000
Cash at end of period,-,15841000,14601000,19270000
Operating Cash Flow,-,4669000,2652000,8140000
Capital Expenditure,-,-6379000,-3697000,-1416000
Free Cash Flow,-,-1710000,-1045000,6724000
