Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,6/30/2016
Investments in property plant and equipment,-12958,-12958,-65579,-6699,-1229,-1967
Purchases of investments,-,-,-,-,-,-750
Sales/Maturities of investments,-,-,14.685,-,-,137.038
Other investing activites,-,-,-,-,730,36.131
Net cash used for investing activites,-12882,-12882,-65562,-6699,-499.323,-2544
Debt repayment,-14077,-14077,-46.782,-77.316,-,-
Common stock issued,1534,1534,25085,13354,-,3022
Common stock repurchased,-39,-39,-1484,-698.355,-14.556,-115.393
Other financing activites,-,-,-,-,-,-40
Net cash used privided by (used for) financing activities,-12016,-12016,74940,12690,-14.556,6867
Net change in cash,38021,38021,6979,3315,-1928,2071
Cash at beginning of period,11886,11886,4423,1108,3036,965.131
Cash at end of period,49935,49935,11886,4423,1108,3036
Capital Expenditure,-12958,-12958,-65579,-6699,-1229,-1967
Free Cash Flow,49961,49961,-67978,-9375,-2644,-4219
