Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4513,-4513,-8837,-15180,-12700
Acquisitions net,-,-,-,-,-2300
Purchases of investments,-11468,-11468,-30579,-82616,-
Sales/Maturities of investments,-,-,-,-,98480
Other investing activites,-,-,3485,3498,16468
Net cash used for investing activites,-15981,-15981,-35931,-94298,100732
Debt repayment,-22846,-22846,-,-,-
Common stock issued,-,-,58315,39348,-
Dividends Paid,-36265,-36265,-35150,-31387,-30390
Other financing activites,31000,31000,-93507,153726,1637
Net cash used privided by (used for) financing activities,96889,96889,79658,161687,-28753
Net change in cash,30996,30996,-7452,-27114,43997
Cash at beginning of period,49588,49588,57040,84154,37012
Cash at end of period,80584,80584,49588,57040,84154
Capital Expenditure,-4513,-4513,-8837,-15180,-12700
Free Cash Flow,-54425,-54425,-60016,-109683,-40682
