Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,21410636,21410636,21417323
Cost of Revenue,17480642,17480642,17375979
Gross Profit,3929994,3929994,4041343
Total Operating Expenses,941473,941473,883630
Operating Income or Loss,2988521,2988521,3157713
Interest Expense,147492,147492,105960
Income Before Tax,2691262,2691262,2982903
Income Tax Expense,987116,987116,1069995
Income from Continuing Operations,1704146,1704146,1912908
Net Income,1704146,1704146,1912908
Net Income available to common shareholders,1704146,1704146,1912908
Basic EPS,-,-,160.81
Diluted EPS,-,-,160.81
Basic Average Shares,-,-,11895
Diluted Average Shares,-,-,11895
