Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-264.098,-347.993,-546.641,-477.921,-340.858
Other investing activites,-,-,-,-26.664,-
Net cash used for investing activites,-264.098,-347.993,-546.641,-504.585,-340.858
Common stock issued,-,250,-,-,-
Net cash used privided by (used for) financing activities,-,250,-,-,-
Net change in cash,1237,1517,-168.668,-786.906,-279.915
Cash at beginning of period,2144,1549,1685,2512,2797
Cash at end of period,3381,3081,1549,1685,2512
Capital Expenditure,-264.098,-347.993,-546.641,-477.921,-340.858
Free Cash Flow,994.75,1267,-168.668,-760.242,-279.915
