Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,6079000,6079000,4409000,4446000,5118000
Depreciation & amortization,7334000,7334000,5699000,4581000,4291000
Change in working capital,7307000,7307000,2052000,604000,3024000
Inventory,1769000,1769000,2894000,1010000,3814000
Other working capital,6117000,6117000,1330000,2452000,2828000
Other non-cash items,-2839000,-2839000,-343000,1975000,918000
Net cash provided by operating activites,16872000,16872000,12398000,11671000,12201000
Investments in property plant and equipment,-10755000,-10755000,-11068000,-9219000,-9373000
Acquisitions net,-1271000,-1271000,-11100000,-38000,-54000
Purchases of investments,-128000,-128000,-42000,-36000,-36000
Sales/Maturities of investments,-,-,-,975000,1000
Other investing activites,-614000,-614000,-606000,-551000,-385000
Net cash used for investing activites,-12579000,-12579000,-22433000,-8127000,-10043000
Net change in cash,2192000,2192000,4768000,2128000,398000
Cash at beginning of period,16303000,16303000,11534000,9383000,8984000
Cash at end of period,18495000,18495000,16303000,11534000,9383000
Operating Cash Flow,16872000,16872000,12398000,11671000,12201000
Capital Expenditure,-10755000,-10755000,-11068000,-9219000,-9373000
Free Cash Flow,6117000,6117000,1330000,2452000,2828000
