Breakdown,ttm,3/31/2019,3/31/2018
Net Income,35604,35604,73717
Depreciation & amortization,55244,55244,53082
Change in working capital,-122710,-122710,-89828
Inventory,-23633,-23633,-33955
Other working capital,-65432,-65432,40601
Other non-cash items,31632,31632,22869
Net cash provided by operating activites,3259,3259,140840
Investments in property plant and equipment,-68691,-68691,-100239
Acquisitions net,-6844,-6844,0
Purchases of investments,-2872,-2872,-3917
Sales/Maturities of investments,30239,30239,0
Other investing activites,-4105,-4105,-4150
Net cash used for investing activites,-52273,-52273,-108306
Net change in cash,88173,88173,-3907
Cash at beginning of period,193944,193944,197852
Cash at end of period,282118,282118,193944
Operating Cash Flow,3259,3259,140840
Capital Expenditure,-68691,-68691,-100239
Free Cash Flow,-65432,-65432,40601
