Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,1022405000,998312000,1011605000,1009381000
Selling General and Administrative,428355000,431151000,444057000,435335000
Total Operating Expenses,750437000,741693000,784237000,786678000
Interest Expense,392359000,371845000,246071000,165271000
Income Before Tax,261962000,241340000,238822000,191135000
Income Tax Expense,65302000,60599000,73075000,56929000
Income from Continuing Operations,196660000,180741000,165747000,134206000
Net Income,193530000,173889000,153986000,121446000
Net Income available to common shareholders,193530000,173889000,153986000,121446000
Basic EPS,-,458.91,403.91,317.24
Diluted EPS,-,458.64,403.75,317.15
Basic Average Shares,-,378915,381230,382818
Diluted Average Shares,-,379141,381389,382929
