Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-763900,-763900,-426400,-197000,-125400
Acquisitions net,-,-,-183300,-,-
Sales/Maturities of investments,-,-,-,-,3300
Net cash used for investing activites,-763900,-763900,-609700,-197000,-122100
Debt repayment,-47300,-47300,-,-,-
Common stock repurchased,-,-,-,-7300,-37000
Dividends Paid,-74300,-74300,-67600,-59700,-60600
Net cash used privided by (used for) financing activities,-121600,-121600,-67600,-67000,-97600
Net change in cash,-374900,-374900,-227700,78900,104400
Cash at beginning of period,505100,505100,729400,655700,552500
Cash at end of period,134000,134000,505100,729400,655700
Capital Expenditure,-763900,-763900,-426400,-197000,-125400
Free Cash Flow,-253300,-253300,23200,145900,198700
