Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,725394,674897,626341,574195
Liabilities,,,,
Total Liabilities,663949,619754,574676,524774
Stockholders' Equity,,,,
Common Stock,9325,9370,9370,9370
Retained Earnings,20900,16521,12269,10156
Accumulated other comprehensive income,-5,-2243,-1469,-1600
Total stockholders' equity,61445,55143,51665,49421
Total liabilities and stockholders' equity,725394,674897,626341,574195
